ammonia,arsenic,cadmium,copper,viruses,lead,nitrates,mercury,selenium,uranium,class
19.97,0.0,0.07,1.68,0.994,0.077,17.29,0.008,0.06,0.06,1
24.77,0.72,0.03,1.85,0.39,0.036,2.04,0.009,0.1,0.08,1
7.32,0.71,0.08,1.21,0.999,0.12,18.24,0.001,0.07,0.08,1
15.74,0.05,0.0,1.82,0.995,0.088,1.37,0.002,0.04,0.07,1
12.32,0.68,0.09,1.59,0.993,0.18,18.49,0.0,0.04,0.07,1
3.22,0.36,0.06,0.01,0.992,0.028,2.82,0.009,0.02,0.07,1
27.93,0.68,0.07,1.35,0.995,0.187,2.67,0.007,0.09,0.08,1
8.19,0.64,0.02,1.56,0.41,0.158,3.66,0.004,0.05,0.07,1
20.13,0.49,0.1,1.58,0.992,0.144,11.9,0.004,0.04,0.07,1
6.68,0.93,0.01,1.04,0.01,0.07,7.44,0.009,0.09,0.06,1
29.78,0.56,0.02,0.05,0.06,0.194,3.03,0.001,0.09,0.08,1
2.32,0.54,0.03,1.07,0.999,0.033,3.73,0.0,0.03,0.09,1
4.66,0.27,0.01,1.6,0.39,0.16,1.1,0.0,0.07,0.07,1
5.87,0.31,0.02,0.24,0.998,0.152,8.15,0.006,0.03,0.08,1
15.67,0.45,0.03,1.85,0.5,0.199,14.96,0.01,0.05,0.07,1
17.56,0.79,0.08,1.97,0.38,0.15,0.16,0.009,0.04,0.07,1
23.47,0.12,0.08,1.01,0.998,0.052,1.58,0.008,0.04,0.08,1
7.9,0.34,0.01,1.99,0.992,0.079,14.32,0.007,0.06,0.09,1
12.64,0.37,0.01,1.88,0.06,0.151,13.7,0.008,0.06,0.07,1
11.85,0.68,0.06,1.47,0.34,0.184,10.66,0.0,0.1,0.06,1
20.53,0.24,0.03,0.97,0.994,0.068,10.75,0.004,0.08,0.07,1
19.58,0.79,0.0,1.81,0.29,0.038,12.36,0.009,0.03,0.06,1
1.32,0.14,0.02,0.16,0.41,0.022,13.9,0.006,0.08,0.07,1
7.03,0.48,0.1,0.79,0.45,0.084,6.8,0.001,0.07,0.06,1
24.43,0.93,0.02,0.89,0.998,0.045,6.89,0.008,0.03,0.08,1
29.44,0.75,0.02,0.79,0.996,0.179,17.46,0.008,0.1,0.07,1
0.73,0.43,0.04,0.05,0.19,0.125,18.92,0.005,0.02,0.08,1
27.65,0.92,0.03,0.31,0.07,0.039,16.87,0.001,0.06,0.08,1
8.75,0.33,0.02,1.17,0.995,0.116,13.58,0.009,0.04,0.08,1
25.97,0.31,0.1,1.71,0.36,0.046,2.61,0.008,0.06,0.09,1
23.35,0.11,0.07,1.96,0.16,0.168,14.79,0.003,0.03,0.09,1
28.97,0.46,0.09,1.15,0.992,0.141,13.01,0.007,0.07,0.06,1
18.81,0.63,0.09,1.59,0.39,0.073,3.43,0.004,0.03,0.06,1
14.15,0.18,0.1,1.33,0.39,0.077,15.64,0.01,0.07,0.08,1
9.1,0.82,0.12,0.44,0.994,0.058,12.64,0.003,0.04,0.08,1
1.49,0.37,0.09,0.67,0.994,0.092,10.51,0.006,0.03,0.08,1
12.55,0.74,0.09,0.36,0.991,0.125,5.47,0.008,0.1,0.07,1
5.44,1.0,0.124,1.43,0.999,0.083,13.02,0.007,0.08,0.07,1
16.03,1.01,0.123,0.86,0.992,0.129,1.06,0.006,0.06,0.07,1
29.63,1.01,0.127,0.29,0.998,0.097,3.6,0.004,0.03,0.09,1
19.39,0.98,0.124,1.48,0.998,0.09,16.21,0.01,0.09,0.07,1
12.08,0.99,0.124,1.78,0.43,0.099,9.42,0.009,0.06,0.08,1
10.7,1.029,0.124,1.15,0.992,0.155,17.67,0.005,0.09,0.08,1
7.48,0.98,0.129,1.76,0.992,0.03,3.59,0.004,0.08,0.07,1
19.98,1.029,0.122,1.99,0.5,0.052,9.43,0.003,0.04,0.07,1
14.81,1.02,0.128,1.19,0.995,0.195,2.98,0.008,0.06,0.06,1
1.53,1.02,0.129,1.79,0.0,0.095,15.38,0.001,0.04,0.06,1
6.26,0.99,0.127,0.67,0.992,0.158,8.4,0.009,0.03,0.07,1
0.95,1.0,0.128,1.87,0.992,0.112,3.82,0.01,0.05,0.07,1
20.05,0.98,0.124,0.83,0.49,0.07,16.91,0.0,0.1,0.08,1
19.3,1.02,0.122,0.28,0.37,0.029,17.8,0.005,0.08,0.07,1
19.87,0.99,0.127,1.68,0.994,0.077,18.03,0.008,0.06,0.06,1
24.67,1.01,0.129,1.85,0.39,0.036,2.86,0.009,0.1,0.08,1
7.22,1.01,0.129,1.21,0.999,0.12,19.21,0.001,0.07,0.08,1
15.64,0.99,0.123,1.82,0.995,0.088,2.01,0.002,0.04,0.07,1
12.22,0.99,0.127,1.59,0.993,0.18,19.47,0.0,0.04,0.07,1
3.12,1.029,0.121,0.01,0.992,0.028,3.02,0.009,0.02,0.07,1
27.83,0.99,0.126,1.35,0.995,0.187,3.06,0.007,0.09,0.08,1
8.09,1.02,0.128,1.56,0.41,0.158,4.42,0.004,0.05,0.07,1
20.03,1.029,0.128,1.58,0.992,0.144,12.71,0.004,0.04,0.07,1
6.58,1.0,0.123,1.04,0.01,0.07,8.33,0.009,0.09,0.06,1
29.68,1.029,0.128,0.05,0.06,0.194,3.98,0.001,0.09,0.08,1
4.56,1.02,0.127,1.6,0.39,0.16,1.27,0.0,0.07,0.07,1
5.77,1.0,0.124,0.24,0.998,0.152,8.41,0.006,0.03,0.08,1
15.57,1.029,0.125,1.85,0.5,0.006,15.23,0.01,0.05,0.07,1
17.46,1.0,0.124,1.97,0.38,0.15,0.95,0.009,0.04,0.07,1
23.37,1.01,0.129,1.01,0.998,0.052,2.16,0.008,0.04,0.08,1
7.8,1.02,0.128,1.99,0.992,0.079,14.36,0.007,0.06,0.09,1
12.54,0.99,0.124,1.88,0.06,0.151,13.7,0.008,0.06,0.07,1
11.75,1.02,0.126,1.47,0.34,0.184,10.8,0.0,0.1,0.06,1
20.43,1.0,0.128,0.97,0.994,0.068,11.29,0.004,0.08,0.07,1
19.48,1.01,0.125,1.81,0.29,0.038,12.94,0.009,0.03,0.06,1
1.22,1.02,0.126,0.16,0.41,0.022,14.47,0.006,0.08,0.07,1
6.93,1.029,0.126,0.79,0.45,0.084,7.71,0.001,0.07,0.06,1
24.33,1.029,0.122,0.89,0.998,0.045,7.75,0.008,0.03,0.08,1
29.34,1.029,0.123,0.79,0.996,0.179,18.35,0.008,0.1,0.07,1
0.63,1.01,0.126,0.05,0.19,0.125,19.32,0.005,0.02,0.08,1
27.55,1.029,0.129,0.31,0.07,0.039,17.11,0.001,0.06,0.08,1
8.65,0.99,0.125,1.17,0.995,0.116,13.88,0.009,0.04,0.08,1
25.87,1.01,0.124,1.71,0.36,0.046,3.47,0.008,0.06,0.09,1
23.25,0.99,0.128,1.96,0.16,0.168,15.38,0.003,0.03,0.09,1
18.71,0.99,0.123,1.59,0.39,0.073,3.88,0.004,0.03,0.06,1
14.05,1.01,0.129,1.33,0.39,0.077,16.48,0.01,0.07,0.08,1
9.0,1.01,0.126,0.44,0.994,0.058,13.47,0.003,0.04,0.08,1
1.39,0.99,0.124,0.67,0.994,0.092,10.75,0.006,0.03,0.08,1
12.45,1.01,0.123,0.36,0.991,0.125,5.95,0.008,0.1,0.07,1
5.54,0.64,0.08,1.43,0.999,0.083,12.25,0.007,0.08,0.07,1
16.13,0.79,0.02,0.86,0.992,0.129,0.42,0.006,0.06,0.07,1
29.73,0.67,0.06,0.29,0.998,0.097,2.73,0.004,0.03,0.09,1
19.49,0.87,0.06,1.48,0.998,0.09,15.22,0.01,0.09,0.07,1
8.03,0.57,0.1,1.24,0.21,0.151,2.17,0.004,0.03,0.09,1
10.8,0.79,0.09,1.15,0.992,0.155,16.85,0.005,0.09,0.08,1
7.58,0.95,0.11,1.76,0.992,0.03,3.11,0.004,0.08,0.07,1
20.08,0.83,0.08,1.99,0.5,0.052,9.12,0.003,0.04,0.07,1
14.91,0.5,0.09,1.19,0.995,0.195,2.63,0.008,0.06,0.06,1
6.36,0.76,0.07,0.67,0.992,0.158,8.05,0.009,0.03,0.07,1
1.05,0.43,0.06,1.87,0.992,0.112,3.07,0.01,0.05,0.07,1
19.4,1.01,0.11,0.28,0.37,0.029,17.65,0.005,0.08,0.07,1
19.97,0.71,0.05,1.68,0.994,0.077,17.15,0.008,0.06,0.06,1
24.77,0.63,0.07,1.85,0.39,0.036,2.09,0.009,0.1,0.08,1
7.32,0.8,0.08,1.21,0.999,0.12,18.63,0.001,0.07,0.08,1
15.74,0.36,0.12,1.82,0.995,0.088,1.17,0.002,0.04,0.07,1
12.32,0.62,0.1,1.59,0.993,0.18,18.93,0.0,0.04,0.07,1
3.22,0.96,0.1,0.01,0.992,0.028,2.15,0.009,0.02,0.07,1
27.93,0.76,0.09,1.35,0.995,0.187,2.78,0.007,0.09,0.08,1
8.19,0.25,0.09,1.56,0.41,0.158,3.81,0.004,0.05,0.07,1
20.13,0.82,0.1,1.58,0.992,0.144,12.36,0.004,0.04,0.07,1
6.68,0.01,0.03,1.04,0.01,0.07,7.48,0.009,0.09,0.06,1
29.78,0.7,0.04,1.95,0.06,0.199,3.81,0.001,0.09,0.08,1
2.32,0.14,0.01,1.92,0.999,0.199,3.75,0.0,0.03,0.09,1
4.66,0.24,0.07,2.0,0.39,0.199,0.61,0.0,0.07,0.07,1
5.87,0.24,0.11,1.94,0.998,0.199,8.35,0.006,0.03,0.08,1
15.67,0.37,0.08,1.92,0.5,0.199,14.57,0.01,0.05,0.07,1
17.56,0.35,0.0,1.96,0.38,0.199,0.01,0.009,0.04,0.07,1
23.47,0.84,0.02,1.96,0.998,0.199,2.13,0.008,0.04,0.08,1
7.9,0.47,0.09,1.98,0.992,0.199,13.72,0.007,0.06,0.09,1
12.64,0.77,0.02,1.95,0.06,0.199,13.7,0.008,0.06,0.07,1
11.85,0.94,0.03,1.92,0.34,0.199,10.58,0.0,0.1,0.06,1
20.53,0.46,0.02,1.97,0.994,0.199,10.51,0.004,0.08,0.07,1
19.58,0.3,0.04,1.98,0.29,0.038,12.42,0.009,0.03,0.06,1
1.32,0.03,0.05,1.95,0.41,0.022,14.3,0.006,0.08,0.07,1
7.03,0.93,0.04,1.93,0.45,0.084,7.62,0.001,0.07,0.06,1
24.43,0.84,0.1,1.92,0.998,0.045,7.74,0.008,0.03,0.08,1
29.44,0.68,0.04,1.92,0.996,0.179,18.29,0.008,0.1,0.07,1
0.73,0.58,0.11,1.92,0.19,0.125,19.14,0.005,0.02,0.08,1
27.65,1.02,0.04,1.97,0.07,0.039,16.53,0.001,0.06,0.08,1
8.75,0.5,0.05,1.95,0.995,0.116,13.15,0.009,0.04,0.08,1
25.97,0.66,0.06,1.96,0.36,0.046,2.67,0.008,0.06,0.09,1
23.35,0.31,0.1,1.96,0.16,0.168,14.42,0.003,0.03,0.09,1
28.97,0.68,0.1,1.95,0.992,0.141,12.38,0.007,0.07,0.06,1
18.81,0.13,0.04,1.99,0.39,0.073,3.73,0.004,0.03,0.06,1
14.15,0.87,0.11,1.94,0.39,0.077,16.35,0.01,0.07,0.08,1
9.1,0.44,0.01,1.94,0.994,0.058,12.51,0.003,0.04,0.08,1
1.49,0.59,0.01,1.97,0.994,0.092,9.86,0.006,0.03,0.08,1
12.55,0.84,0.05,1.93,0.991,0.125,5.92,0.008,0.1,0.07,1
5.97,0.94,0.09,1.96,0.999,0.083,13.02,0.007,0.08,0.07,1
9.93,0.99,0.12,1.9,0.997,0.054,11.8,0.004,0.01,0.04,1
19.14,1.01,0.07,1.9,0.998,0.069,11.55,0.005,0.04,0.04,1
17.97,0.96,0.1,1.95,1.0,0.185,10.65,0.002,0.09,0.09,1
14.02,0.96,0.07,1.92,0.996,0.155,11.14,0.0,0.08,0.05,1
15.77,1.02,0.08,1.93,0.993,0.054,12.04,0.007,0.03,0.08,1
2.14,1.0,0.12,1.92,0.993,0.167,13.91,0.009,0.09,0.04,1
20.09,0.99,0.11,1.91,0.998,0.09,16.21,0.01,0.09,0.07,1
24.07,0.99,0.13,1.98,0.999,0.185,18.04,0.009,0.01,0.08,1
4.72,0.94,0.04,1.95,0.997,0.157,12.93,0.002,0.08,0.04,1
21.06,0.98,0.12,1.9,0.992,0.097,16.06,0.003,0.09,0.02,1
7.39,0.98,0.05,1.92,0.996,0.166,15.94,0.003,0.01,0.07,1
25.87,1.0,0.08,1.93,1.0,0.192,13.02,0.004,0.04,0.01,1
12.83,0.98,0.05,1.91,0.997,0.108,12.5,0.001,0.08,0.02,1
12.02,1.02,0.06,2.0,0.995,0.14,9.81,0.004,0.0,0.01,1
24.19,0.94,0.12,1.96,0.997,0.105,17.86,0.009,0.09,0.02,1
5.09,0.97,0.12,1.97,0.997,0.149,16.43,0.004,0.06,0.01,1
23.83,1.02,0.07,1.99,0.996,0.107,18.25,0.006,0.07,0.04,1
20.46,1.01,0.04,1.96,0.998,0.186,12.93,0.001,0.09,0.07,1
19.94,0.94,0.13,1.94,0.994,0.077,18.03,0.008,0.06,0.06,1
22.17,0.96,0.09,1.95,0.997,0.193,10.41,0.008,0.01,0.02,1
27.32,1.0,0.07,1.91,0.996,0.095,10.92,0.005,0.01,0.01,1
13.16,0.95,0.13,1.97,0.997,0.056,12.4,0.0,0.01,0.05,1
9.38,1.02,0.11,1.99,0.998,0.11,14.38,0.0,0.0,0.05,1
12.33,1.01,0.1,1.91,0.993,0.18,19.47,0.0,0.04,0.07,1
3.17,1.01,0.07,1.99,0.992,0.148,19.21,0.002,0.04,0.07,1
24.15,1.0,0.05,1.93,0.997,0.065,17.36,0.0,0.01,0.07,1
24.19,0.97,0.04,1.91,0.993,0.138,14.85,0.006,0.07,0.06,1
22.26,1.0,0.07,1.91,0.993,0.09,18.68,0.002,0.03,0.05,1
6.79,1.01,0.1,1.91,0.995,0.188,11.44,0.006,0.03,0.01,1
22.14,0.99,0.07,2.0,0.993,0.052,13.57,0.002,0.07,0.07,1
20.06,0.94,0.06,1.99,0.992,0.151,18.15,0.009,0.09,0.04,1
10.01,0.98,0.08,1.98,1.0,0.196,12.52,0.008,0.01,0.07,1
4.87,0.99,0.09,1.99,0.999,0.053,18.93,0.004,0.08,0.03,1
1.86,1.0,0.09,1.97,0.993,0.058,18.07,0.008,0.01,0.07,1
6.28,0.93,0.07,1.98,0.993,0.088,9.89,0.009,0.07,0.04,1
5.29,1.01,0.04,1.94,0.992,0.178,16.66,0.001,0.01,0.07,1
29.35,0.97,0.1,1.99,0.998,0.135,18.56,0.0,0.08,0.03,1
24.51,0.95,0.06,1.91,0.991,0.184,17.26,0.008,0.05,0.01,1
27.07,0.99,0.11,1.91,0.993,0.068,15.59,0.006,0.04,0.05,1
22.4,1.01,0.08,1.96,0.995,0.1,9.84,0.003,0.04,0.04,1
21.64,1.02,0.04,1.91,0.997,0.076,18.09,0.007,0.04,0.06,1
21.66,0.97,0.09,2.0,0.991,0.093,13.31,0.008,0.09,0.02,1
1.92,0.99,0.08,1.97,0.992,0.092,14.4,0.007,0.08,0.01,1
24.19,0.95,0.07,1.96,0.995,0.194,10.18,0.007,0.08,0.06,1
18.3,0.97,0.1,1.96,0.998,0.111,12.29,0.01,0.04,0.04,1
6.87,0.97,0.06,1.93,0.993,0.103,11.64,0.003,0.05,0.08,1
27.58,0.98,0.05,1.92,0.995,0.152,19.37,0.002,0.02,0.06,1
13.69,0.95,0.07,1.96,0.991,0.113,19.5,0.004,0.08,0.03,1
1.42,0.97,0.12,1.93,0.995,0.156,12.89,0.004,0.04,0.09,1
17.33,1.02,0.09,1.92,0.999,0.17,18.33,0.001,0.1,0.05,1
29.64,1.0,0.1,1.96,0.997,0.07,15.54,0.001,0.03,0.03,1
0.89,0.99,0.08,1.92,0.999,0.141,9.85,0.004,0.04,0.01,1
29.52,0.94,0.06,1.92,0.996,0.179,18.35,0.008,0.1,0.07,1
24.03,0.95,0.1,1.92,0.993,0.163,16.09,0.009,0.01,0.04,1
13.21,0.97,0.04,1.98,0.998,0.087,19.53,0.0,0.02,0.06,1
20.09,0.93,0.05,1.97,0.994,0.128,16.78,0.008,0.08,0.07,1
9.35,1.0,0.05,1.93,0.995,0.116,13.88,0.009,0.04,0.08,1
5.43,1.03,0.04,1.97,0.993,0.165,14.13,0.005,0.01,0.08,1
12.75,1.03,0.1,1.92,0.995,0.053,11.25,0.01,0.1,0.09,1
16.19,1.01,0.05,1.91,0.996,0.15,11.91,0.007,0.07,0.05,1
3.18,0.99,0.05,1.93,0.996,0.145,14.54,0.01,0.01,0.04,1
26.15,0.93,0.07,1.91,0.999,0.055,14.72,0.008,0.05,0.06,1
16.49,0.99,0.11,2.0,0.999,0.056,10.81,0.005,0.04,0.07,1
0.49,0.97,0.1,0.95,0.995,0.134,15.14,0.01,0.03,0.07,1
6.35,1.0,0.08,1.43,0.999,0.083,12.13,0.007,0.08,0.07,1
10.86,0.96,0.11,1.92,0.997,0.054,11.24,0.004,0.01,0.04,1
19.39,0.93,0.11,1.7,0.998,0.069,11.01,0.005,0.04,0.04,1
18.09,1.03,0.09,1.86,1.0,0.185,9.77,0.002,0.09,0.09,1
13.64,0.98,0.06,0.86,0.996,0.155,10.62,0.0,0.08,0.05,1
15.91,0.93,0.1,1.29,0.993,0.054,11.12,0.007,0.03,0.08,1
15.42,0.99,0.07,0.7,0.992,0.164,17.11,0.002,0.09,0.07,1
1.98,1.0,0.04,1.99,0.993,0.167,13.52,0.009,0.09,0.04,1
19.87,0.99,0.08,1.48,0.998,0.09,15.59,0.01,0.09,0.07,1
23.36,0.99,0.11,1.95,0.999,0.185,17.47,0.009,0.01,0.08,1
5.01,0.96,0.11,1.13,0.997,0.157,12.84,0.002,0.08,0.04,1
21.18,0.95,0.11,0.78,0.992,0.097,15.27,0.003,0.09,0.02,1
7.0,0.93,0.07,1.5,0.996,0.166,15.28,0.003,0.01,0.07,1
26.28,0.96,0.1,1.93,1.0,0.192,12.04,0.004,0.04,0.01,1
12.73,0.95,0.08,1.43,0.997,0.108,11.87,0.001,0.08,0.02,1
23.6,0.94,0.09,1.5,0.997,0.105,17.32,0.009,0.09,0.02,1
11.15,1.02,0.08,0.96,0.999,0.121,11.16,0.002,0.07,0.09,1
18.54,0.99,0.1,0.82,0.999,0.168,15.69,0.007,0.04,0.02,1
6.0,0.97,0.07,0.91,0.997,0.149,15.68,0.004,0.06,0.01,1
23.53,0.96,0.11,1.67,0.996,0.107,18.25,0.006,0.07,0.04,1
20.53,0.94,0.08,1.68,0.994,0.077,17.58,0.008,0.06,0.06,1
1.67,1.02,0.12,1.49,0.994,0.125,12.12,0.009,0.04,0.08,1
12.86,1.01,0.05,1.59,0.993,0.18,18.66,0.0,0.04,0.07,1
22.42,0.93,0.04,1.96,0.993,0.09,17.82,0.002,0.03,0.05,1
7.47,0.99,0.1,1.02,0.995,0.188,10.53,0.006,0.03,0.01,1
19.58,0.97,0.04,0.95,0.992,0.151,17.45,0.009,0.09,0.04,1
10.0,0.95,0.09,1.22,1.0,0.196,12.38,0.008,0.01,0.07,1
1.98,0.94,0.05,1.94,0.993,0.058,17.97,0.008,0.01,0.07,1
5.31,1.02,0.04,1.6,0.992,0.178,16.63,0.001,0.01,0.07,1
29.46,1.0,0.07,1.64,0.998,0.135,17.79,0.0,0.08,0.03,1
24.36,0.94,0.11,1.96,0.991,0.184,16.91,0.008,0.05,0.01,1
26.96,0.95,0.04,1.8,0.993,0.068,15.09,0.006,0.04,0.05,1
27.67,0.94,0.12,1.72,0.995,0.152,19.11,0.002,0.02,0.06,1
29.47,0.99,0.07,0.79,0.996,0.179,17.67,0.008,0.1,0.07,1
15.86,0.99,0.11,1.37,0.999,0.056,9.85,0.005,0.04,0.07,1
29.77,0.96,0.08,2.0,1.0,0.135,3.66,0.007,0.05,0.0,1
19.58,0.96,0.05,1.91,1.0,0.166,15.7,0.004,0.08,0.09,1
25.43,0.94,0.06,1.92,1.0,0.041,4.44,0.004,0.08,0.06,1
9.6,0.95,0.04,1.97,1.0,0.086,18.93,0.005,0.05,0.03,1
26.73,0.95,0.04,1.94,1.0,0.062,13.61,0.01,0.09,0.03,1
29.6,0.95,0.12,1.97,1.0,0.153,5.15,0.008,0.05,0.09,1
20.83,1.01,0.05,1.95,1.0,0.088,7.79,0.009,0.1,0.03,1
18.93,0.97,0.09,1.92,1.0,0.049,5.32,0.007,0.04,0.04,1
24.53,0.98,0.11,1.97,1.0,0.115,0.35,0.009,0.05,0.02,1
21.99,1.03,0.09,1.97,1.0,0.003,5.47,0.005,0.01,0.06,1
5.55,1.01,0.12,1.98,1.0,0.169,9.49,0.009,0.01,0.01,1
22.92,1.03,0.1,1.98,1.0,0.018,3.84,0.01,0.1,0.04,1
19.77,1.02,0.13,1.91,1.0,0.2,19.76,0.01,0.1,0.09,1
22.92,1.02,0.1,1.97,1.0,0.018,3.84,0.01,0.1,0.04,1
22.76,1.03,0.06,0.78,0.999,0.049,17.77,0.01,0.0,0.07,0
24.07,0.98,0.08,1.5,0.997,0.105,17.86,0.009,0.09,0.02,0
7.53,0.75,0.1,1.32,0.994,0.045,3.99,0.001,0.05,0.09,0
3.37,1.0,0.04,1.64,0.996,0.145,14.54,0.01,0.01,0.04,0
18.38,1.03,0.07,0.02,0.14,0.166,16.41,0.004,0.08,0.0,0
13.81,1.0,0.12,1.81,1.0,0.101,7.81,0.006,0.04,0.02,0
26.22,0.93,0.12,1.1,0.998,0.065,14.35,0.006,0.06,0.05,0
4.2,1.0,0.08,0.38,0.999,0.083,6.55,0.005,0.0,0.06,0
14.73,0.96,0.06,0.54,0.992,0.003,4.37,0.009,0.05,0.03,0
13.09,1.02,0.04,1.98,0.01,0.113,17.26,0.007,0.02,0.06,0
6.74,0.05,0.1,1.02,0.995,0.188,11.18,0.006,0.03,0.01,0
10.04,0.94,0.06,1.6,0.35,0.06,16.78,0.005,0.02,0.05,0
11.05,0.93,0.01,1.21,1.0,0.074,1.24,0.001,0.0,0.07,0
6.26,1.0,0.05,1.98,1.0,0.097,17.7,0.002,0.07,0.09,0
24.21,1.01,0.08,1.92,1.0,0.075,16.53,0.007,0.05,0.07,0
26.31,0.56,0.02,1.04,0.37,0.158,8.12,0.001,0.01,0.05,0
5.65,0.94,0.04,1.94,0.26,0.154,8.44,0.007,0.09,0.09,0
9.43,1.0,0.124,1.93,0.999,0.172,8.85,0.002,0.04,0.03,0
18.49,1.0,0.1,0.37,0.38,0.034,18.81,0.007,0.1,0.04,0
29.65,1.01,0.06,2.0,0.39,0.192,7.07,0.009,0.02,0.03,0
10.68,0.96,0.05,0.63,0.994,0.166,8.77,0.002,0.04,0.07,0
7.47,0.95,0.1,0.56,0.04,0.009,9.77,0.002,0.08,0.01,0
26.87,0.95,0.08,1.71,0.36,0.046,2.91,0.008,0.06,0.09,0
23.97,1.029,0.128,1.35,0.21,0.082,8.42,0.008,0.09,0.03,0
12.33,1.0,0.09,0.82,0.28,0.03,3.15,0.004,0.02,0.01,0
11.0,0.94,0.07,1.64,0.31,0.195,18.13,0.009,0.03,0.04,0
4.32,1.01,0.04,1.95,0.14,0.068,18.56,0.001,0.01,0.06,0
1.68,1.02,0.11,1.28,0.993,0.047,4.76,0.007,0.0,0.0,0
2.76,1.02,0.124,0.03,0.991,0.169,10.24,0.009,0.01,0.01,0
1.43,0.99,0.1,1.98,0.993,0.17,12.78,0.001,0.09,0.0,0
1.9,0.99,0.04,1.92,0.998,0.064,7.5,0.006,0.01,0.07,0
2.27,0.94,0.12,0.96,0.28,0.039,7.51,0.002,0.04,0.05,0
20.04,0.96,0.09,0.11,0.25,0.108,12.68,0.008,0.03,0.02,0
20.15,0.96,0.03,0.14,1.0,0.187,17.04,0.002,0.07,0.04,0
14.0,0.97,0.08,0.33,0.35,0.158,9.17,0.005,0.04,0.04,0
1.56,0.94,0.13,1.98,0.02,0.009,8.8,0.003,0.07,0.02,0
17.75,0.34,0.11,1.71,0.25,0.034,5.77,0.004,0.02,0.02,0
7.57,1.029,0.127,0.67,1.0,0.068,8.72,0.001,0.0,0.04,0
3.95,0.95,0.1,0.6,0.26,0.055,4.63,0.007,0.02,0.03,0
11.32,0.43,0.05,0.96,0.17,0.049,1.95,0.004,0.03,0.04,0
29.08,0.99,0.121,1.74,0.39,0.192,7.07,0.009,0.02,0.03,0
10.4,0.99,0.126,0.05,0.06,0.153,15.58,0.002,0.07,0.08,0
9.65,0.94,0.09,1.94,0.22,0.004,9.59,0.005,0.03,0.06,0
29.61,1.03,0.13,1.07,0.47,0.001,6.11,0.0,0.07,0.04,0
1.22,0.98,0.09,1.8,0.2,0.088,7.8,0.003,0.03,0.0,0
12.64,1.02,0.127,0.76,0.994,0.028,13.63,0.006,0.02,0.08,0
15.43,0.71,0.08,1.33,0.08,0.143,12.83,0.001,0.01,0.09,0
12.21,0.1,0.09,1.43,1.0,0.108,11.71,0.001,0.08,0.02,0
1.2,1.0,0.126,1.43,0.994,0.163,13.37,0.003,0.05,0.04,0
27.62,0.94,0.04,1.99,0.16,0.09,8.72,0.008,0.01,0.03,0
9.62,0.59,0.06,1.93,0.994,0.199,2.39,0.002,0.08,0.01,0
6.75,1.0,0.126,0.23,0.994,0.063,4.9,0.006,0.09,0.04,0
29.13,1.02,0.1,1.2,1.0,0.113,12.17,0.0,0.07,0.01,0
21.7,0.94,0.03,0.28,0.37,0.029,17.32,0.005,0.08,0.07,0
20.44,0.99,0.122,1.05,0.47,0.018,1.16,0.001,0.02,0.0,0
20.77,0.99,0.04,1.73,0.2,0.093,5.15,0.008,0.02,0.05,0
2.35,0.27,0.12,0.31,1.0,0.019,13.0,0.002,0.03,0.08,0
1.04,0.96,0.12,0.18,0.999,0.178,4.33,0.003,0.07,0.03,0
0.35,1.0,0.121,0.95,1.0,0.134,15.14,0.01,0.03,0.07,0
15.17,0.98,0.125,0.02,0.0,0.1,5.41,0.004,0.01,0.01,0
25.9,1.02,0.12,0.17,0.3,0.078,17.69,0.0,0.01,0.09,0
17.62,0.9,0.0,1.6,0.13,0.074,1.24,0.002,0.07,0.01,0
21.44,1.02,0.1,0.65,0.992,0.002,3.85,0.009,0.04,0.08,0
7.83,0.4,0.12,1.95,0.37,0.174,14.82,0.003,0.03,0.09,0
17.39,0.9,0.0,1.76,0.992,0.004,9.48,0.002,0.07,0.02,0
22.61,0.69,0.02,1.9,0.997,0.193,4.71,0.009,0.05,0.04,0
3.93,1.02,0.128,1.54,0.994,0.151,10.12,0.004,0.07,0.09,0
6.35,0.93,0.09,1.9,0.993,0.015,8.52,0.0,0.04,0.07,0
10.24,1.02,0.05,0.84,0.998,0.11,13.58,0.0,0.0,0.05,0
9.83,0.05,0.02,1.93,0.3,0.199,1.42,0.001,0.1,0.01,0
19.8,0.72,0.09,1.92,0.09,0.199,13.52,0.004,0.07,0.03,0
17.95,0.04,0.06,0.57,1.0,0.04,13.06,0.01,0.1,0.09,0
16.7,1.0,0.125,0.44,0.46,0.177,11.44,0.002,0.07,0.0,0
14.25,0.12,0.09,0.36,0.36,0.168,9.14,0.004,0.07,0.03,0
2.83,1.029,0.128,1.64,1.0,0.145,14.54,0.01,0.01,0.04,0
5.25,0.71,0.11,1.9,0.33,0.006,18.85,0.006,0.09,0.0,0
19.96,0.07,0.04,0.24,0.5,0.104,12.54,0.008,0.0,0.08,0
27.66,0.45,0.02,0.74,0.23,0.11,8.13,0.006,0.01,0.01,0
20.01,1.01,0.07,0.43,1.0,0.11,1.36,0.008,0.02,0.07,0
3.14,0.82,0.09,1.93,0.45,0.199,17.63,0.002,0.07,0.04,0
6.45,0.99,0.04,1.63,0.993,0.015,7.93,0.0,0.04,0.07,0
7.21,1.0,0.124,1.95,0.998,0.189,13.01,0.009,0.06,0.02,0
29.75,0.98,0.12,0.4,0.997,0.022,3.07,0.008,0.07,0.08,0
